USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.1  0.0  24580  2508 ?        Ss   Sep28   1:25 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Sep28   0:01 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Sep28   0:26 [ksoftirqd/0]
root         6  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/0]
root         7  0.0  0.0      0     0 ?        S    Sep28   0:04 [watchdog/0]
root         8  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    Sep28   1:03 [kworker/1:0]
root        10  0.0  0.0      0     0 ?        S    Sep28   0:01 [ksoftirqd/1]
root        12  0.0  0.0      0     0 ?        S    Sep28   0:05 [watchdog/1]
root        13  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/2]
root        14  0.1  0.0      0     0 ?        S    Sep28   1:17 [kworker/2:0]
root        15  0.0  0.0      0     0 ?        S    Sep28   0:02 [ksoftirqd/2]
root        16  0.0  0.0      0     0 ?        S    Sep28   0:04 [watchdog/2]
root        17  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/3]
root        18  0.0  0.0      0     0 ?        S    Sep28   0:10 [kworker/3:0]
root        19  0.0  0.0      0     0 ?        S    Sep28   0:03 [ksoftirqd/3]
root        20  0.0  0.0      0     0 ?        S    Sep28   0:04 [watchdog/3]
root        21  1.2  0.0      0     0 ?        S    Sep28  13:31 [migration/4]
root        22  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/4:0]
root        23  0.0  0.0      0     0 ?        S    Sep28   0:02 [ksoftirqd/4]
root        24  0.0  0.0      0     0 ?        S    Sep28   0:06 [watchdog/4]
root        25  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/5]
root        26  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/5:0]
root        27  0.0  0.0      0     0 ?        S    Sep28   0:01 [ksoftirqd/5]
root        28  0.0  0.0      0     0 ?        S    Sep28   0:04 [watchdog/5]
root        29  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/6]
root        30  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/6:0]
root        31  0.0  0.0      0     0 ?        S    Sep28   0:02 [ksoftirqd/6]
root        32  0.0  0.0      0     0 ?        S    Sep28   0:03 [watchdog/6]
root        33  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/7]
root        34  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/7:0]
root        35  0.0  0.0      0     0 ?        S    Sep28   0:03 [ksoftirqd/7]
root        36  0.0  0.0      0     0 ?        S    Sep28   0:03 [watchdog/7]
root        37  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/8]
root        38  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/8:0]
root        39  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/8]
root        40  0.0  0.0      0     0 ?        S    Sep28   0:16 [watchdog/8]
root        41  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/9]
root        43  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/9]
root        44  0.0  0.0      0     0 ?        S    Sep28   0:32 [watchdog/9]
root        45  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/10]
root        46  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/10:0]
root        47  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/10]
